sistema,evento_id,motivo_rechazo,detalle,usuario_llave_origen,estacion_id,fecha_original,registro_crudo,archivo_origen,ingerido_en
CDC,10356,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 13:59:00,"{""secuencia"":10356,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 13:59:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 18"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10440,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 05:14:00,"{""secuencia"":10440,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 05:14:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 4"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10484,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 05:30:00,"{""secuencia"":10484,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 05:30:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 1"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10518,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 20:10:00,"{""secuencia"":10518,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 20:10:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10525,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 21:45:00,"{""secuencia"":10525,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 21:45:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 13"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10528,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 05:45:00,"{""secuencia"":10528,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 05:45:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""Zona 13"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,1053,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-02 23:45:00,"{""secuencia"":1053,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-02 23:45:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 10"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10541,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 11:52:00,"{""secuencia"":10541,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 11:52:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10545,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 07:43:00,"{""secuencia"":10545,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 07:43:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Villa Nueva"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10552,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 03:32:00,"{""secuencia"":10552,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 03:32:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10571,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 06:08:00,"{""secuencia"":10571,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 06:08:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 1"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10602,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 06:56:00,"{""secuencia"":10602,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 06:56:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 8"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10605,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 12:37:00,"{""secuencia"":10605,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 12:37:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Villa Nueva"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10626,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 15:02:00,"{""secuencia"":10626,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 15:02:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Villa Nueva"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10649,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 03:14:00,"{""secuencia"":10649,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 03:14:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""San Miguel Petapa"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10651,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 19:59:00,"{""secuencia"":10651,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 19:59:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10668,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 03:11:00,"{""secuencia"":10668,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 03:11:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 6"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10693,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 09:48:00,"{""secuencia"":10693,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 09:48:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 13"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10695,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 03:01:00,"{""secuencia"":10695,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 03:01:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""Zona 7"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10701,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 07:02:00,"{""secuencia"":10701,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 07:02:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 17"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10704,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 07:48:00,"{""secuencia"":10704,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 07:48:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""Villa Nueva"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10706,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 19:50:00,"{""secuencia"":10706,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 19:50:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 1"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10710,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 17:41:00,"{""secuencia"":10710,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 17:41:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10715,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 12:07:00,"{""secuencia"":10715,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 12:07:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10742,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 01:16:00,"{""secuencia"":10742,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 01:16:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""San Miguel Petapa"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10745,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 01:01:00,"{""secuencia"":10745,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 01:01:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10757,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 21:31:00,"{""secuencia"":10757,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 21:31:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 9"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10761,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 04:08:00,"{""secuencia"":10761,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 04:08:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Villa Nueva"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10765,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 15:59:00,"{""secuencia"":10765,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 15:59:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 13"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10770,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 06:19:00,"{""secuencia"":10770,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 06:19:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""Santa Catarina Pinula"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10772,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 18:14:00,"{""secuencia"":10772,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 18:14:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10788,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 11:30:00,"{""secuencia"":10788,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 11:30:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 17"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10792,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 12:53:00,"{""secuencia"":10792,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 12:53:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 9"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10794,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 09:04:00,"{""secuencia"":10794,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 09:04:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 6"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,108,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-01 23:52:00,"{""secuencia"":108,""operacion"":""INSERT"",""ts_operacion"":""2026-06-01 23:52:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Mixco"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10803,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 15:01:00,"{""secuencia"":10803,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 15:01:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 13"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10837,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 15:12:00,"{""secuencia"":10837,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 15:12:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 1"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10852,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 04:26:00,"{""secuencia"":10852,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-16 04:26:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 9"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
