tarjeta,perfil,zona_residencia_origen,activa,fecha_baja,ultima_operacion,ultima_secuencia
TC-00000361,estudiante,Zona 17,true,,UPDATE,5209
TC-00000366,general,Villa Nueva,true,,UPDATE,14258
TC-00000374,trabajador,Zona 4,true,,INSERT,24941
TC-00000376,,,false,2026-06-22 22:21:00,DELETE,15159
TC-00000377,estudiante,Mixco,true,,UPDATE,30792
TC-00000378,adulto_mayor,Zona 1,true,,INSERT,24202
TC-00000379,,,false,2026-06-13 11:49:00,DELETE,8937
TC-00000380,trabajador,Zona 17,true,,INSERT,25619
TC-00000385,trabajador,Zona 11,true,,UPDATE,19093
TC-00000392,,,false,2026-06-02 01:27:00,DELETE,1308
TC-00000393,general,Zona 6,false,2026-06-29 23:56:00,DELETE,19957
TC-00000395,,,false,2026-06-21 21:40:00,DELETE,14432
TC-00000398,trabajador,Zona 4,true,,INSERT,26451
TC-00000400,general,San Miguel Petapa,true,,UPDATE,6757
TC-00000401,general,Villa Nueva,true,,UPDATE,3110
TC-00000406,trabajador,Zona 7,true,,INSERT,15361
TC-00000407,adulto_mayor,Mixco,true,,UPDATE,2311
TC-00000417,trabajador,Zona 7,true,,INSERT,16789
TC-00000418,adulto_mayor,Zona 13,true,,UPDATE,19140
TC-00000422,adulto_mayor,Zona 9,true,,UPDATE,21233
TC-00000425,trabajador,Villa Nueva,true,,UPDATE,7458
TC-00000426,adulto_mayor,Zona 1,true,,UPDATE,29944
TC-00000431,general,Zona 1,true,,UPDATE,25899
TC-00000433,adulto_mayor,San Miguel Petapa,true,,UPDATE,2496
TC-00000442,trabajador,Zona 9,true,,INSERT,20158
TC-00000443,trabajador,Villa Nueva,true,,INSERT,22862
TC-00000447,adulto_mayor,Zona 12,true,,UPDATE,13632
TC-00000448,adulto_mayor,Zona 4,true,,INSERT,7748
TC-00000455,general,Zona 7,true,,UPDATE,19676
TC-00000458,,,false,2026-06-29 10:29:00,DELETE,19967
TC-00000459,estudiante,Zona 17,true,,UPDATE,19128
TC-00000462,general,Zona 10,true,,INSERT,22308
TC-00000464,general,Santa Catarina Pinula,true,,UPDATE,28696
TC-00000465,general,Zona 9,true,,UPDATE,3195
TC-00000468,general,Zona 6,true,,UPDATE,30129
TC-00000470,general,Zona 4,true,,INSERT,13897
TC-00000473,trabajador,Zona 7,true,,INSERT,30519
TC-00000474,estudiante,Zona 6,true,,UPDATE,14268
TC-00000482,adulto_mayor,Zona 13,true,,INSERT,18744
TC-00000484,trabajador,San Miguel Petapa,true,,INSERT,17270
TC-00000496,trabajador,Zona 4,true,,INSERT,23597
TC-00000498,adulto_mayor,Zona 7,true,,UPDATE,18997
TC-00000500,trabajador,Villa Nueva,true,,INSERT,28309
TC-00000503,adulto_mayor,Zona 8,true,,INSERT,2804
TC-00000506,trabajador,Villa Nueva,true,,UPDATE,17071
TC-00000508,trabajador,Zona 11,true,,INSERT,13182
TC-00000513,general,Zona 13,true,,UPDATE,6781
TC-00000518,,,false,2026-06-19 23:33:00,DELETE,13035
TC-00000519,general,Santa Catarina Pinula,true,,UPDATE,28156
TC-00000521,estudiante,Zona 9,true,,INSERT,20712
TC-00000523,,,false,2026-06-30 20:02:00,DELETE,20668
TC-00000527,estudiante,San Miguel Petapa,true,,UPDATE,28126
TC-00000532,general,Zona 7,false,2026-07-11 17:02:00,DELETE,28225
TC-00000535,estudiante,Zona 12,true,,INSERT,1487
TC-00000536,trabajador,Zona 8,true,,UPDATE,17536
TC-00000540,estudiante,San Miguel Petapa,true,,UPDATE,5886
TC-00000542,adulto_mayor,Zona 8,true,,UPDATE,961
TC-00000543,trabajador,Zona 7,true,,UPDATE,16878
TC-00000548,,,false,2026-06-21 00:45:00,DELETE,14486
TC-00000549,trabajador,Villa Nueva,true,,UPDATE,5096
TC-00000552,adulto_mayor,Zona 6,true,,UPDATE,21893
TC-00000557,estudiante,Zona 17,true,,UPDATE,22620
TC-00000561,adulto_mayor,Santa Catarina Pinula,true,,INSERT,20903
TC-00000562,general,Zona 4,true,,INSERT,29708
TC-00000565,general,Zona 17,true,,INSERT,26294
TC-00000571,estudiante,Zona 13,true,,INSERT,18864
TC-00000578,trabajador,Villa Nueva,true,,UPDATE,5411
TC-00000580,estudiante,Santa Catarina Pinula,true,,UPDATE,28805
TC-00000585,,,false,2026-06-23 16:23:00,DELETE,15836
TC-00000586,general,Zona 8,true,,UPDATE,15726
TC-00000587,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,350
TC-00000590,trabajador,Zona 1,true,,UPDATE,23898
TC-00000591,,,false,2026-07-09 16:05:00,DELETE,26877
TC-00000592,trabajador,Zona 11,true,,INSERT,7080
TC-00000599,general,Zona 13,true,,INSERT,20025
TC-00000600,adulto_mayor,Villa Nueva,true,,UPDATE,14086
TC-00000602,trabajador,Santa Catarina Pinula,true,,UPDATE,8808
TC-00000604,,,false,2026-07-05 18:33:00,DELETE,24128
TC-00000606,trabajador,Zona 8,true,,INSERT,20837
TC-00000609,trabajador,Zona 7,true,,INSERT,29900
TC-00000613,general,Zona 11,true,,INSERT,49
TC-00000614,estudiante,Zona 11,true,,INSERT,6344
TC-00000620,trabajador,Zona 8,true,,INSERT,9698
TC-00000623,trabajador,Zona 1,true,,UPDATE,7146
TC-00000629,trabajador,Zona 13,true,,INSERT,12522
TC-00000630,estudiante,Zona 10,true,,INSERT,30474
TC-00000632,,,false,2026-06-14 05:45:00,DELETE,9642
TC-00000636,,,false,2026-07-11 07:43:00,DELETE,28273
TC-00000637,adulto_mayor,Zona 10,false,2026-07-11 20:33:00,DELETE,28239
TC-00000639,estudiante,Zona 13,true,,UPDATE,5843
TC-00000640,general,Zona 9,true,,UPDATE,22551
TC-00000644,general,Zona 8,true,,INSERT,8330
TC-00000650,trabajador,Mixco,true,,UPDATE,12878
TC-00000659,,,false,2026-06-16 16:28:00,DELETE,11019
TC-00000660,general,Zona 12,true,,INSERT,22173
TC-00000661,adulto_mayor,Zona 12,true,,UPDATE,25095
TC-00000663,estudiante,Zona 17,true,,INSERT,29728
TC-00000664,estudiante,Zona 6,true,,INSERT,11075
TC-00000669,trabajador,Santa Catarina Pinula,true,,INSERT,20070
TC-00000672,general,Zona 8,true,,UPDATE,26487
TC-00000676,trabajador,Zona 7,true,,INSERT,18772
TC-00000678,estudiante,Zona 8,true,,UPDATE,16949
TC-00000683,trabajador,Zona 12,false,2026-07-04 07:58:00,DELETE,23402
TC-00000686,adulto_mayor,Zona 10,true,,INSERT,12482
TC-00000693,estudiante,Zona 10,true,,INSERT,9678
TC-00000694,general,Zona 10,true,,INSERT,29066
TC-00000695,general,Zona 10,true,,UPDATE,19004
TC-00000704,trabajador,Zona 1,true,,UPDATE,15647
TC-00000706,estudiante,Santa Catarina Pinula,true,,UPDATE,4554
TC-00000707,general,Zona 11,true,,UPDATE,19222
TC-00000708,estudiante,Zona 17,true,,UPDATE,23014
TC-00000712,,,false,2026-06-19 04:54:00,DELETE,13028
TC-00000713,,,false,2026-06-12 00:38:00,DELETE,8198
TC-00000716,estudiante,Zona 9,true,,UPDATE,3784
TC-00000718,adulto_mayor,San Miguel Petapa,true,,UPDATE,6505
TC-00000720,trabajador,Villa Nueva,true,,UPDATE,17696
TC-00000723,estudiante,Zona 13,true,,INSERT,2294
TC-00000730,trabajador,Zona 11,true,,INSERT,27625
TC-00000731,trabajador,Zona 17,true,,UPDATE,23233
TC-00000733,adulto_mayor,Zona 13,true,,UPDATE,23938
TC-00000734,trabajador,Zona 11,true,,INSERT,181
TC-00000738,adulto_mayor,Zona 6,true,,UPDATE,21689
TC-00000741,adulto_mayor,Zona 9,true,,UPDATE,26575
TC-00000742,general,Zona 17,true,,UPDATE,24005
TC-00000746,trabajador,Zona 7,false,2026-07-11 06:24:00,DELETE,28221
TC-00000748,trabajador,Villa Nueva,true,,INSERT,15392
TC-00000755,estudiante,Zona 11,true,,UPDATE,9286
TC-00000762,adulto_mayor,Zona 18,true,,UPDATE,7496
TC-00000770,general,Zona 1,true,,UPDATE,30658
TC-00000773,trabajador,Zona 6,true,,UPDATE,9304
TC-00000786,general,Zona 1,true,,UPDATE,6104
TC-00000787,estudiante,San Miguel Petapa,true,,INSERT,26334
TC-00000796,estudiante,Zona 13,false,2026-07-02 22:06:00,DELETE,22071
TC-00000802,trabajador,Zona 12,true,,UPDATE,19637
TC-00000807,general,Zona 12,true,,UPDATE,16880
TC-00000812,trabajador,Santa Catarina Pinula,true,,INSERT,159
TC-00000820,estudiante,Zona 10,true,,UPDATE,28186
TC-00000842,trabajador,Mixco,true,,INSERT,926
TC-00000844,trabajador,Zona 9,true,,UPDATE,595
TC-00000845,adulto_mayor,Zona 8,true,,UPDATE,12129
TC-00000846,,,false,2026-06-05 07:03:00,DELETE,3414
TC-00000850,estudiante,Zona 11,true,,INSERT,6428
TC-00000855,adulto_mayor,Zona 1,true,,UPDATE,16961
TC-00000858,estudiante,Zona 17,true,,INSERT,29130
TC-00000859,adulto_mayor,Zona 17,true,,UPDATE,14325
TC-00000860,general,San Miguel Petapa,true,,UPDATE,30623
TC-00000869,estudiante,Zona 11,true,,UPDATE,29489
TC-00000870,general,San Miguel Petapa,true,,UPDATE,19665
TC-00000871,estudiante,San Miguel Petapa,true,,INSERT,8470
TC-00000872,adulto_mayor,Zona 8,true,,UPDATE,27217
TC-00000876,estudiante,San Miguel Petapa,true,,UPDATE,20604
TC-00000885,adulto_mayor,Zona 13,true,,UPDATE,20942
TC-00000886,trabajador,Zona 13,true,,INSERT,22987
TC-00000887,trabajador,Zona 11,true,,INSERT,14550
TC-00000888,adulto_mayor,Zona 8,true,,UPDATE,4436
TC-00000896,trabajador,Zona 6,false,2026-07-15 04:16:00,DELETE,31005
TC-00000899,general,Santa Catarina Pinula,true,,UPDATE,10753
TC-00000900,adulto_mayor,Zona 4,true,,UPDATE,24416
TC-00000904,estudiante,Villa Nueva,true,,UPDATE,26567
TC-00000906,trabajador,Zona 12,true,,INSERT,20023
TC-00000908,estudiante,San Miguel Petapa,true,,UPDATE,16995
TC-00000909,,,false,2026-07-15 17:23:00,DELETE,30992
TC-00000913,trabajador,San Miguel Petapa,true,,UPDATE,21894
TC-00000915,general,Zona 10,true,,INSERT,21445
TC-00000918,trabajador,Zona 4,true,,INSERT,9018
TC-00000919,adulto_mayor,Zona 10,true,,UPDATE,28823
TC-00000920,general,Zona 6,true,,INSERT,27114
TC-00000923,,,false,2026-06-16 19:29:00,DELETE,10984
TC-00000926,general,Zona 13,true,,UPDATE,3176
TC-00000927,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,17542
TC-00000932,general,Zona 6,true,,INSERT,10400
TC-00000939,trabajador,Zona 17,true,,INSERT,27124
TC-00000943,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,12249
TC-00000945,,,false,2026-06-29 11:46:00,DELETE,19938
TC-00000949,,,false,2026-07-08 17:45:00,DELETE,26165
TC-00000954,,,false,2026-07-02 22:23:00,DELETE,22069
TC-00000957,estudiante,Zona 4,true,,UPDATE,28868
TC-00000965,estudiante,Villa Nueva,true,,INSERT,7743
TC-00000968,,,false,2026-07-04 14:29:00,DELETE,23434
TC-00000972,general,Zona 4,true,,UPDATE,12065
TC-00000978,estudiante,Zona 6,true,,UPDATE,28723
TC-00000981,estudiante,Zona 11,true,,UPDATE,26074
TC-00000982,general,Villa Nueva,true,,UPDATE,5231
TC-00000985,estudiante,Zona 8,true,,INSERT,12623
TC-00000993,general,Zona 1,true,,INSERT,24970
TC-00000994,general,Zona 8,true,,UPDATE,30836
TC-00000998,adulto_mayor,Zona 7,true,,UPDATE,21634
TC-00000999,trabajador,Zona 18,true,,UPDATE,17080
TC-00001009,adulto_mayor,Mixco,true,,UPDATE,16223
TC-00001010,general,San Miguel Petapa,true,,INSERT,29680
TC-00001011,general,Mixco,true,,UPDATE,28669
TC-00001012,general,Zona 4,true,,UPDATE,14866
TC-00001016,,,false,2026-07-03 23:14:00,DELETE,22691
TC-00001017,,,false,2026-06-18 04:25:00,DELETE,12386
TC-00001018,general,Zona 6,true,,UPDATE,26588
TC-00001021,estudiante,Zona 12,true,,INSERT,22320
TC-00001025,adulto_mayor,Zona 18,true,,UPDATE,25986
TC-00001026,,,false,2026-06-20 19:15:00,DELETE,13794
TC-00001030,trabajador,Zona 4,false,2026-06-23 13:40:00,DELETE,15839
TC-00001032,estudiante,Villa Nueva,true,,UPDATE,13393
TC-00001035,trabajador,Zona 6,true,,INSERT,26914
TC-00001036,general,San Miguel Petapa,true,,UPDATE,12231
TC-00001042,adulto_mayor,Zona 4,true,,UPDATE,21977
TC-00001043,,,false,2026-06-18 12:32:00,DELETE,12366
TC-00001044,trabajador,Zona 6,true,,INSERT,8433
TC-00001045,adulto_mayor,Zona 12,true,,UPDATE,15552
TC-00001050,estudiante,Zona 6,true,,UPDATE,7244
TC-00001056,adulto_mayor,Zona 17,true,,UPDATE,25822
TC-00001057,adulto_mayor,Santa Catarina Pinula,true,,INSERT,26311
TC-00001063,estudiante,Zona 6,true,,INSERT,19
TC-00001064,adulto_mayor,Zona 6,true,,UPDATE,27396
TC-00001068,adulto_mayor,Zona 6,true,,UPDATE,30837
TC-00001069,general,Zona 9,true,,INSERT,17983
TC-00001076,adulto_mayor,Mixco,true,,UPDATE,26564
TC-00001078,estudiante,Zona 8,true,,INSERT,20200
TC-00001079,general,Zona 8,true,,UPDATE,30151
TC-00001088,estudiante,Zona 17,true,,INSERT,15342
TC-00001089,trabajador,Zona 13,false,2026-07-05 10:33:00,DELETE,24077
TC-00001090,trabajador,San Miguel Petapa,true,,INSERT,13151
TC-00001097,estudiante,Zona 7,true,,UPDATE,16835
TC-00001099,,,false,2026-07-08 06:55:00,DELETE,26193
TC-00001103,general,Zona 1,true,,UPDATE,17808
TC-00001108,trabajador,Mixco,true,,UPDATE,5191
TC-00001109,trabajador,Zona 10,true,,INSERT,17275
TC-00001112,trabajador,Zona 12,true,,INSERT,18148
TC-00001115,estudiante,Zona 7,true,,UPDATE,8773
TC-00001116,general,San Miguel Petapa,true,,UPDATE,17646
TC-00001117,estudiante,Zona 10,true,,UPDATE,23760
TC-00001126,trabajador,Zona 9,true,,INSERT,4304
TC-00001127,trabajador,Villa Nueva,true,,INSERT,4900
TC-00001130,general,Villa Nueva,true,,UPDATE,5975
TC-00001140,trabajador,Zona 18,true,,INSERT,5037
TC-00001142,trabajador,Zona 13,true,,UPDATE,5204
TC-00001146,estudiante,Villa Nueva,true,,INSERT,17284
TC-00001147,trabajador,Zona 10,true,,INSERT,11877
TC-00001148,estudiante,Mixco,true,,UPDATE,25353
TC-00001149,estudiante,Mixco,true,,INSERT,11193
TC-00001150,adulto_mayor,Zona 18,true,,UPDATE,13449
TC-00001153,trabajador,Mixco,true,,INSERT,2872
TC-00001157,general,Zona 18,true,,UPDATE,30139
TC-00001159,trabajador,Santa Catarina Pinula,true,,INSERT,26933
TC-00001160,trabajador,Zona 9,true,,INSERT,30426
TC-00001161,general,Mixco,true,,UPDATE,17718
TC-00001162,trabajador,Santa Catarina Pinula,true,,UPDATE,12927
TC-00001163,trabajador,Zona 17,false,2026-07-09 17:40:00,DELETE,26874
TC-00001168,trabajador,Zona 10,true,,UPDATE,19894
TC-00001169,trabajador,Zona 13,true,,INSERT,27043
TC-00001176,general,Zona 18,true,,UPDATE,23239
TC-00001177,,,false,2026-06-29 00:30:00,DELETE,19987
TC-00001183,,,false,2026-07-03 01:05:00,DELETE,22682
TC-00001186,trabajador,Zona 18,true,,INSERT,12545
TC-00001188,general,Zona 11,true,,UPDATE,7185
TC-00001190,estudiante,Zona 17,true,,UPDATE,21934
TC-00001194,trabajador,Zona 13,true,,INSERT,5734
TC-00001204,trabajador,Villa Nueva,true,,INSERT,24949
TC-00001207,adulto_mayor,Zona 11,true,,UPDATE,14876
TC-00001211,trabajador,Zona 6,true,,UPDATE,16852
TC-00001212,general,Zona 7,true,,UPDATE,30646
TC-00001217,trabajador,Mixco,true,,UPDATE,19901
TC-00001220,,,false,2026-06-24 01:10:00,DELETE,16490
TC-00001221,trabajador,Zona 4,true,,UPDATE,13439
TC-00001225,estudiante,Mixco,true,,UPDATE,30203
TC-00001237,general,Villa Nueva,true,,INSERT,4366
TC-00001238,general,Zona 4,true,,INSERT,15248
TC-00001243,adulto_mayor,Mixco,true,,UPDATE,21793
TC-00001247,adulto_mayor,San Miguel Petapa,true,,UPDATE,26112
TC-00001248,estudiante,Zona 17,true,,UPDATE,7996
TC-00001251,trabajador,Zona 12,true,,INSERT,27678
TC-00001255,general,Zona 7,true,,UPDATE,14879
TC-00001260,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,19034
TC-00001263,adulto_mayor,Zona 6,true,,UPDATE,30762
TC-00001265,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,25917
TC-00001267,trabajador,Zona 13,true,,UPDATE,10671
TC-00001271,estudiante,Zona 7,true,,UPDATE,30700
TC-00001272,trabajador,Zona 12,true,,INSERT,22955
TC-00001273,,,false,2026-06-27 18:42:00,DELETE,18570
TC-00001274,adulto_mayor,Zona 17,true,,UPDATE,30607
TC-00001276,general,Santa Catarina Pinula,true,,INSERT,4927
TC-00001277,trabajador,Zona 8,true,,INSERT,13264
TC-00001280,estudiante,Zona 1,true,,UPDATE,2334
TC-00001282,trabajador,Mixco,true,,INSERT,18778
TC-00001292,adulto_mayor,Zona 9,true,,INSERT,20718
TC-00001297,adulto_mayor,Zona 8,true,,UPDATE,20428
TC-00001306,general,Zona 4,true,,UPDATE,14336
TC-00001308,estudiante,Zona 6,true,,UPDATE,2541
TC-00001312,estudiante,Zona 10,true,,UPDATE,15059
TC-00001314,estudiante,Zona 12,true,,UPDATE,6682
TC-00001315,general,Zona 18,true,,UPDATE,30870
TC-00001316,trabajador,Mixco,true,,INSERT,14704
TC-00001317,trabajador,Zona 1,true,,UPDATE,14862
TC-00001323,trabajador,Zona 11,true,,UPDATE,976
TC-00001327,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,29573
TC-00001328,general,Zona 8,false,2026-07-08 03:12:00,DELETE,26214
TC-00001335,trabajador,Villa Nueva,true,,UPDATE,20996
TC-00001337,trabajador,San Miguel Petapa,true,,INSERT,15366
TC-00001338,general,Santa Catarina Pinula,true,,UPDATE,17814
TC-00001339,general,Villa Nueva,true,,UPDATE,10866
TC-00001340,,,false,2026-06-25 10:29:00,DELETE,17218
TC-00001341,trabajador,Zona 18,true,,INSERT,29050
TC-00001342,,,false,2026-06-09 07:13:00,DELETE,6129
TC-00001343,,,false,2026-06-26 05:41:00,DELETE,17870
TC-00001344,trabajador,Zona 12,true,,UPDATE,10228
TC-00001348,trabajador,Zona 7,false,2026-07-02 00:52:00,DELETE,22037
TC-00001351,trabajador,Mixco,true,,INSERT,14498
TC-00001352,,,false,2026-06-14 09:03:00,DELETE,9577
TC-00001353,,,false,2026-06-23 15:10:00,DELETE,15848
TC-00001358,trabajador,Zona 6,true,,UPDATE,12212
TC-00001360,,,false,2026-06-19 09:39:00,DELETE,13072
TC-00001365,adulto_mayor,Zona 6,true,,UPDATE,13548
TC-00001370,trabajador,Zona 12,false,2026-07-15 10:26:00,DELETE,30969
TC-00001379,general,Zona 4,true,,UPDATE,14187
TC-00001380,adulto_mayor,San Miguel Petapa,true,,UPDATE,30860
TC-00001382,,,false,2026-06-17 10:11:00,DELETE,11711
TC-00001384,adulto_mayor,Zona 13,true,,UPDATE,14341
TC-00001386,estudiante,Zona 8,true,,INSERT,18052
TC-00001388,adulto_mayor,Zona 17,true,,UPDATE,14338
TC-00001389,general,Zona 10,true,,UPDATE,19100
TC-00001390,trabajador,Mixco,true,,UPDATE,20941
TC-00001391,adulto_mayor,Zona 1,true,,UPDATE,5326
TC-00001398,general,Zona 6,true,,UPDATE,28781
TC-00001399,adulto_mayor,Zona 13,false,2026-06-07 10:23:00,DELETE,4748
TC-00001400,general,Villa Nueva,true,,UPDATE,8051
TC-00001401,trabajador,Zona 13,true,,INSERT,16585
TC-00001409,trabajador,Zona 10,true,,UPDATE,431
TC-00001410,general,Zona 7,true,,UPDATE,25314
TC-00001411,adulto_mayor,Zona 18,true,,UPDATE,16273
TC-00001413,estudiante,Zona 11,true,,INSERT,6434
TC-00001416,estudiante,Zona 9,true,,UPDATE,14814
TC-00001419,general,Zona 8,true,,UPDATE,15520
TC-00001420,trabajador,Zona 4,true,,INSERT,30507
TC-00001424,trabajador,Zona 11,true,,INSERT,16681
TC-00001425,,,false,2026-06-14 23:31:00,DELETE,9645
TC-00001435,trabajador,Zona 18,true,,UPDATE,21642
TC-00001436,estudiante,Zona 4,true,,UPDATE,15549
TC-00001438,trabajador,Zona 17,true,,INSERT,8351
TC-00001441,trabajador,Mixco,true,,INSERT,26290
TC-00001442,trabajador,Santa Catarina Pinula,true,,INSERT,10496
TC-00001443,general,Santa Catarina Pinula,true,,UPDATE,21237
TC-00001447,trabajador,Zona 1,true,,INSERT,11245
TC-00001457,trabajador,Zona 18,true,,INSERT,11842
TC-00001458,general,Zona 17,true,,UPDATE,18289
TC-00001465,estudiante,Villa Nueva,true,,UPDATE,7289
TC-00001466,estudiante,Zona 1,true,,INSERT,8316
TC-00001467,adulto_mayor,Zona 8,true,,UPDATE,28072
TC-00001469,estudiante,Zona 7,true,,UPDATE,5377
TC-00001470,,,false,2026-06-01 00:29:00,DELETE,640
TC-00001471,,,false,2026-06-07 17:06:00,DELETE,4756
